Line name,Pipe name,VC name,Qos,DosOrDrop,Jambo,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name
AS,,,0,0,0,,,,,,,,,,,,,,,,,,,,
AS,Fallback,,0,0,0,,,,,,,,,,,,,,,,,,,,
AS,Fallback,Fallback,0,0,0,Autonomous_system_int,Autonomous_system_ext,,,,,,,,,,,,,,,,,,
CER,,,0,0,0,,,,,,,,,,,,,,,,,,,,
CER,Gre1,,0,0,0,,,,,,,,,,,,,,,,,,,,
CER,Gre1,Fallback,0,0,0,Gre-11.11.11.11_int,Gre-11.11.11.11_ext,,,,,,,,,,,,,,,,,,
CER,BitTorrent1,,0,0,0,,,,,,,,,,,,,,,,,,,,
CER,BitTorrent1,Fallback,0,0,0,CER_Bitorent_DHT_int,CER_Bitorent_DHT_ext,,,,,,,,,,,,,,,,,,
CER,Fallback,,0,0,0,,,,,,,,,,,,,,,,,,,,
CER,Fallback,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
QoS,,,0,0,0,,,,,,,,,,,,,,,,,,,,
QoS,MaxPipe1,,0,0,0,,,,,,,,,,,,,,,,,,,,
QoS,MaxPipe1,IgnoreQos,0,0,0,Max_Qos_Ignore_qos_int,Max_Qos_Ignore_qos_ext,,,,,,,,,,,,,,,,,,
QoS,maxPipe-Spare1,,0,0,0,,,,,,,,,,,,,,,,,,,,
QoS,maxPipe-Spare1,MinVc-pri1,0,0,0,QoS_Min_QoS_pri1_int,QoS_Min_QoS_pri1_ext,,,,,,,,,,,,,,,,,,
QoS,maxPipe-Spare1,MinVc-pri2,0,0,0,QoS_Min_QoS_pri2_int,QoS_Min_QoS_pri2_ext,,,,,,,,,,,,,,,,,,
QoS,maxPipe-Spare1,MinVc-pri3,0,0,0,QoS_Min_QoS_pri3_int,QoS_Min_QoS_pri3_ext,,,,,,,,,,,,,,,,,,
QoS,maxPipe-Spare1,MinVc-pri4,0,0,0,QoS_Min_QoS_pri4_int,QoS_Min_QoS_pri4_ext,,,,,,,,,,,,,,,,,,
QoS,Fallback,,0,0,0,,,,,,,,,,,,,,,,,,,,
QoS,Fallback,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
