Line_Name,Pipe_Name,VC_Name,BW_kbps,CER,Live_Connections,Drop_Connections,
AS,,,182026,0,100,0,
AS,Fallback,,182026,0,100,0,
AS,Fallback,Fallback,182026,0,100,0,
CER,,,580564,8888,177760,0,
CER,Gre1,,533280,4444,88880,0,
CER,Gre1,Fallback,533280,4444,88880,0,
CER,BitTorrent1,,47284,4444,88880,0,
CER,BitTorrent1,Fallback,47284,4444,88880,0,
CER,Fallback,,0,0,0,0,
CER,Fallback,Fallback,0,0,0,0,
QoS,,,1599840,17776,436745,0,
QoS,MaxPipe1,,533280,0,81225,0,
QoS,MaxPipe1,IgnoreQos,533280,0,81225,0,
QoS,maxPipe-Spare1,,1066560,17776,355520,0,
QoS,maxPipe-Spare1,MinVc-pri1,106656,4444,88880,0,
QoS,maxPipe-Spare1,MinVc-pri2,213312,4444,88880,0,
QoS,maxPipe-Spare1,MinVc-pri3,319968,4444,88880,0,
QoS,maxPipe-Spare1,MinVc-pri4,426624,4444,88880,0,
QoS,Fallback,,0,0,0,0,
QoS,Fallback,Fallback,0,0,0,0,
Jumbo,,,10749488,0,100000,0,
Jumbo,Ps_1518_1526,,4331644,0,80000,0,
Jumbo,Ps_1518_1526,Fallback,4331644,0,80000,0,
Jumbo,Jumbo_ps_9026,,6417844,0,20000,0,
Jumbo,Jumbo_ps_9026,Fallback,6417844,0,20000,0,
Jumbo,Fallback,Fallback,0,0,0,0,
Dos,,,0,13332,266640,399960,
Dos,Dos-P11,,0,8888,177760,266640,
Dos,Dos-P11,vc1-dos,0,4444,88880,133320,
Dos,Dos-P11,vc2-dos,0,4444,88880,133320,
Dos,Dos-P11,Fallback,0,0,0,0,
Dos,Dos-P21,,0,4444,88880,133320,
Dos,Dos-P21,vct,0,4444,88880,133320,
Dos,Dos-P21,Fallback,0,0,0,0,
Dos,Fallback,,0,0,0,0,
Dos,Fallback,Fallback,0,0,0,0,
Bypass,,,0,0,0,0,
Bypass,p11,,0,0,0,0,
Bypass,p11,Fallback,0,0,0,0,
Bypass,Bypass_Drop1,,0,0,0,0,
Bypass,Bypass_Drop1,Fallback,0,0,0,0,
Bypass,Fallback,,0,0,0,0,
Bypass,Fallback,Fallback,0,0,0,0,
Drop,,,0,4444,88880,133320,
Drop,PT1,,0,4444,88880,133320,
Drop,PT1,Fallback,0,4444,88880,133320,
Drop,Fallback,,0,0,0,0,
Drop,Fallback,Fallback,0,0,0,0,
Subscribers,,,3199680,0,120000,0,
Subscribers,p_gold,,1599840,0,60000,0,
Subscribers,p_gold,Skype,533280,0,20000,0,
Subscribers,p_gold,FTP,533280,0,20000,0,
Subscribers,p_gold,BitTorrent,533280,0,20000,0,
Subscribers,p_gold,Fallback,0,0,0,0,
Subscribers,p_silver,,1599840,0,60000,0,
Subscribers,p_silver,Skype,533280,0,20000,0,
Subscribers,p_silver,FTP,533280,0,20000,0,
Subscribers,p_silver,BitTorrent,533280,0,20000,0,
Subscribers,p_silver,Fallback,0,0,0,0,
Subscribers,Fallback,,0,0,0,0,
Subscribers,Fallback,Fallback,0,0,0,0,
Tos,,,728104,0,135000,0,
Tos,Tos10-to-1,,364052,0,67500,0,
Tos,Tos10-to-1,Fallback,364052,0,67500,0,
Tos,Tos20-to-45,,364052,0,67500,0,
Tos,Tos20-to-45,Fallback,364052,0,67500,0,
Tos,Fallback,,0,0,0,0,
Tos,Fallback,Fallback,0,0,0,0,
TIME,,,182026,4444,88880,0,
TIME,Half-1,,182026,4444,88880,0,
TIME,Half-1,VC2,182026,4444,88880,0,
TIME,Half-1,VC1,182026,4444,88880,0,
TIME,Half-1,Fallback,0,0,0,0,
TIME,Half-2,,182026,4444,88880,0,
TIME,Half-2,VC2,182026,4444,88880,0,
TIME,Half-2,VC1,182026,4444,88880,0,
TIME,Half-2,Fallback,0,0,0,0,
TIME,Fallback,,0,0,0,0,
TIME,Fallback,Fallback,0,0,0,0,
UDS,,,533280,0,28800,0,
UDS,Fallback,,533280,0,28800,0,
UDS,Fallback,Fallback,533280,0,28800,0,
IPv6,,,1599840,4444,613280,0,
IPv6,DualStack,,1066560,0,80000,0,
IPv6,DualStack,BitTorrent-IPv6,533280,0,40000,0,
IPv6,DualStack,eDonkey,533280,0,40000,0,
IPv6,DualStack,Fallback,0,0,0,0,
IPv6,CER1,,533280,4444,533280,0,
IPv6,CER1,vc1,533280,4444,533280,0,
IPv6,CER1,Fallback,0,0,0,0,
IPv6,Fallback,,0,0,0,0,
IPv6,Fallback,Fallback,0,0,0,0,
Tethering,,,136518,0,67500,0,
Tethering,Fallback,,136518,0,67500,0,
Tethering,Fallback,Fallback,136518,0,67500,0,
Interface,,,533280,0,67500,0,
Interface,p11,,533280,0,67500,0,
Interface,p11,vc1,533280,0,67500,0,
Interface,p11,Fallback,0,0,0,0,
Interface,Fallback,,0,0,0,0,
Interface,Fallback,Fallback,0,0,0,0,
Fallback,,,0,0,0,0,
Fallback,Fallback,,0,0,0,0,
Fallback,Fallback,Fallback,0,0,0,0,
